Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code,Set Destination Trip
UberX,completed,2022-08-22T21:48:11.000Z,2022-08-22T21:55:34.000Z,2022-08-22T22:08:17.000Z,3.85810535,763,1.87,10.97,0,USD,TRUE
UberX,completed,2022-08-22T21:22:20.000Z,2022-08-22T21:33:43.000Z,2022-08-22T21:50:34.000Z,9.576581159,1011,1.87,19.69,0,USD,TRUE
UberX,completed,2022-08-22T20:49:23.000Z,2022-08-22T20:58:35.000Z,2022-08-22T21:25:06.000Z,16.91252028774666,1591,1.87,30.53,0,USD,TRUE
UberX,completed,2022-08-22T20:14:24.000Z,2022-08-22T20:25:13.000Z,2022-08-22T20:44:51.000Z,6.349616788,1178,1.87,26.98,0,USD,FALSE
UberX,completed,2022-08-22T16:28:49.000Z,2022-08-22T16:42:19.000Z,2022-08-22T17:26:41.000Z,18.01479312941975,2662,1.87,51.64,0,USD,FALSE
UberX,completed,2022-08-21T00:12:30.000Z,2022-08-21T00:20:34.000Z,2022-08-21T00:30:52.000Z,3.868760078,618,1.87,18.53,0,USD,FALSE
UberX,completed,2022-08-20T23:50:34.000Z,2022-08-21T00:03:58.000Z,2022-08-21T00:08:50.000Z,1.948731626,292,1.87,16.26,0,USD,FALSE
UberX,completed,2022-08-20T23:18:58.000Z,2022-08-20T23:31:29.000Z,2022-08-20T23:35:41.000Z,1.850012503,252,1.87,17.32,0,USD,TRUE
UberX,completed,2022-08-20T22:57:08.000Z,2022-08-20T23:14:35.000Z,2022-08-20T23:26:36.000Z,5.268868078,721,1.87,23.64,0,USD,TRUE
UberX,completed,2022-08-20T22:17:20.000Z,2022-08-20T22:26:48.000Z,2022-08-20T23:02:53.000Z,19.77616432016206,2165,1.87,38.41,0,USD,TRUE
